Year,Consumer Electronics    ,Industrial Electronics ,Computer Hardware      ,Communication & Broadcast Equipments,Electronics Components    ,Sub-Total             ,Computer Software,Total                       
2000-01,648,500,1250,550,1840,4788,28350,33138
2001-02,700,950,1800,150,2200,5800,36500,42300
2002-03,750,1400,550,500,2400,5600,46100,51700
2003-04,825,1515,1440,165,3755,7700,58240,65940
2004-05,1150,1500,1200,350,3800,8000,80180,88180
2005-06,2000,2300,1025,500,3800,9625,104100,113725
2006-07,1500,3000,1500,650,5850,12500,141000,153500
2007-08,1600,3885,990,625,6100,13200,164400,177600
2008-09,2600,4200,1650,12280,10500,31230,216190,247420
2009-10,3000,3500,1900,7800,9700,25900,237000,262900
2010-11,1400,4500,1300,14800,18400,40400,268610,309010
2011-12,1227,5600,2100,18200,15500,42627,332769,375396
2012-13,1600,5900,2400,20900,13200,44000,412191,456191
2013-14,NA,NA,NA,NA,NA,46704,527292,573996
2014-15,NA,NA,NA,NA,NA,36692,600000,636692
 2015-16,NA,NA,NA,NA,NA,NA,700000,700000
 2016-17,NA,NA,NA,NA,NA,NA,779200,779200
